Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Preferred,Height,Weight,AltPos,Age,Nation,League,Team
Abby Smith,76,75,76,71,77,39,76,GK,Right,"173cm / 5'8""",66kg / 146lb,,30,United States,NWSL,NJ/NY Gotham
Abdallah Ndour,66,71,31,60,65,64,67,LB,Left,"186cm / 6'1""",70kg / 154lb,RB,30,Senegal,Ligue 2 BKT,En Avant Guingamp
Abdallah Sima,74,89,73,66,72,41,72,LM,Right,"188cm / 6'2""",74kg / 163lb,LW,23,Senegal,Ligue 1 McDonald's,Stade Brestois 29
Abdel Hakim Abdallah,66,81,40,57,65,60,68,LB,Left,"170cm / 5'7""",68kg / 150lb,LM,27,Netherlands,Ligue 2 BKT,Rodez AF
Abdelhamid Ait Boudlal,61,68,30,47,47,60,66,CB,Right,"190cm / 6'3""",78kg / 172lb,,18,Morocco,Ligue 1 McDonald's,Stade Rennais FC
Abdelhamid Sabiri,73,59,71,71,75,59,74,CAM,Right,"186cm / 6'1""",80kg / 176lb,"CM, ST",27,Morocco,Serie A Enilive,Fiorentina
Abdelkabir Abqar,72,46,31,49,53,74,67,CB,Right,"188cm / 6'2""",80kg / 176lb,,25,Morocco,LA LIGA,D. Alaves
Abdelkader Bedrane,72,61,30,55,53,72,76,CB,Right,"186cm / 6'1""",81kg / 179lb,,32,Algeria,ROSHN Saudi League,Damac FC
Abdelkahar Kadri,72,72,67,68,78,61,62,CAM,Right,"170cm / 5'7""",69kg / 152lb,CM,24,Algeria,1A Pro League,KV Kortrijk
Abdellah Zoubir,70,74,66,67,73,33,59,LW,Right,"180cm / 5'11""",75kg / 165lb,"LM, CAM",32,France,Liga Azerbaijan,Qarabağ FK
Abdelrahman Boudah,64,72,59,60,67,41,63,LW,Right,"186cm / 6'1""",76kg / 168lb,"ST, CAM, LM",25,Sweden,Allsvenskan,Västerås SK
Abdelraouf Al Duqail,59,54,54,58,60,21,63,GK,Right,"185cm / 6'1""",90kg / 198lb,,29,Saudi Arabia,ROSHN Saudi League,Al Fayha
Abdenego Nankishi,63,83,52,54,69,29,57,LM,Right,"178cm / 5'10""",76kg / 168lb,"RM, LW",22,Germany,Bundesliga,SV Werder Bremen
Abderrahman Rebbach,70,71,70,66,70,36,68,LM,Right,"176cm / 5'9""",72kg / 159lb,"RM, CAM, LW",26,Algeria,LA LIGA,D. Alaves
Abderrazak Hamdallah,78,61,79,70,75,31,79,ST,Right,"179cm / 5'10""",75kg / 165lb,CAM,33,Morocco,ROSHN Saudi League,Al Shabab
Abdessamad Ezzalzouli,74,83,70,66,78,27,53,LM,Right,"177cm / 5'10""",73kg / 161lb,"RM, LW",22,Morocco,LA LIGA,Real Betis
Abdihakin Ali,57,64,47,53,61,48,50,CM,Right,"178cm / 5'10""",68kg / 150lb,,22,Sweden,Allsvenskan,AIK
Abdou Harroui,73,69,70,70,74,67,73,CM,Right,"182cm / 6'0""",76kg / 168lb,CDM,26,Morocco,Serie A Enilive,Hellas Verona
Abdoul Fessal Tapsoba,65,83,66,54,67,22,54,ST,Right,"177cm / 5'10""",71kg / 157lb,"LM, CAM",23,Burkina Faso,1A Pro League,Standard Liège
Abdoul Kader Ouattara,58,71,59,42,54,17,48,ST,Right,"180cm / 5'11""",70kg / 154lb,,19,Burkina Faso,1A Pro League,Cercle Brugge
Abdoulaye Bamba,70,65,40,63,63,71,67,CB,Right,"182cm / 6'0""",72kg / 159lb,,34,Cote d'Ivoire,Ligue 1 McDonald's,Angers SCO
Abdoulaye Diaby,67,61,27,41,41,64,82,CB,Right,"198cm / 6'6""",100kg / 220lb,,24,Mali,CSSL,FC St. Gallen
Abdoulaye Doucouré,75,57,78,72,74,77,82,CAM,Right,"184cm / 6'0""",76kg / 168lb,CM,31,Mali,Premier League,Everton
Abdoulaye Kamara,62,67,43,60,67,58,65,CM,Right,"183cm / 6'0""",82kg / 181lb,CDM,19,Guinea,EFL Championship,Portsmouth
Abdoulaye Kanté,64,63,40,55,60,63,62,CDM,Right,"180cm / 5'11""",75kg / 165lb,CM,19,Cote d'Ivoire,Ligue 2 BKT,ESTAC Troyes
Abdoulaye Ndiaye,70,64,31,49,49,71,71,CB,Left,"185cm / 6'1""",75kg / 165lb,,22,Senegal,Ligue 1 McDonald's,Stade Brestois 29
Abdoulaye Sissako,68,71,58,65,72,64,77,CM,Right,"186cm / 6'1""",81kg / 179lb,CDM,26,France,1A Pro League,KV Kortrijk
Abdoulaye Touré,72,43,58,62,61,71,78,CDM,Right,"188cm / 6'2""",84kg / 185lb,CM,30,Guinea,Ligue 1 McDonald's,Havre AC
Abdoulaye Yahaya,57,70,57,52,60,26,39,RW,Left,"170cm / 5'7""",65kg / 143lb,RM,22,Cameroon,1A Pro League,FCV Dender EH
Abdoulie Manneh,58,72,55,43,57,21,63,ST,Right,"179cm / 5'10""",74kg / 163lb,,19,Gambia,Allsvenskan,Mjällby AIF
Abdoulie Sanyang,67,86,60,58,72,40,60,RM,Left,"173cm / 5'8""",69kg / 152lb,"ST, RW",25,Gambia,Liga Hrvatska,Hajduk Split
Abdoulkarim Traore,59,64,34,52,53,57,55,CDM,Right,"173cm / 5'8""",71kg / 157lb,,19,Mali,United Emirates League,Al Ain FC
Abdoullah Ba,68,74,60,63,71,56,62,RM,Right,"174cm / 5'9""",70kg / 154lb,"CAM, RW",21,France,EFL Championship,Sunderland
Abdu Conté,66,68,46,53,66,63,75,LB,Left,"183cm / 6'0""",78kg / 172lb,,26,Portugal,CSSL,BSC Young Boys
Abduhamit Abdugheni,61,77,42,48,60,57,71,RB,Right,"185cm / 6'1""",78kg / 172lb,LB,26,China PR,CSL,Changchun Yatai
Abduhelil Osmanjan,50,70,39,49,51,38,50,CM,Right,"176cm / 5'9""",67kg / 148lb,LM,21,China PR,CSL,Qingdao W. Coast
Abdukodir Khusanov,72,71,39,54,55,71,72,CB,Right,"186cm / 6'1""",84kg / 185lb,,20,Uzbekistan,Ligue 1 McDonald's,RC Lens
Abdul Fatawu,76,84,73,74,78,44,64,RW,Left,"177cm / 5'10""",73kg / 161lb,RM,20,Ghana,Premier League,Leicester City
Abdul Mumin,70,77,36,57,63,69,74,CB,Right,"188cm / 6'2""",79kg / 174lb,,26,Ghana,LA LIGA,Rayo Vallecano
Abdul Rabeeh,54,70,48,49,56,44,46,RW,Right,"169cm / 5'7""",65kg / 143lb,"RM, RB",23,India,ISL,Hyderabad FC
Abdulaziz Al Bishi,65,85,57,60,69,28,63,RM,Left,"176cm / 5'9""",75kg / 165lb,RW,30,Saudi Arabia,ROSHN Saudi League,Al Ittihad
Abdulaziz Al Hotailah,55,68,49,52,57,35,50,CAM,Left,"175cm / 5'9""",62kg / 137lb,LM,26,Saudi Arabia,ROSHN Saudi League,Al Okhdood
Abdulaziz Al Olewah,58,86,42,50,61,33,38,RM,Right,"168cm / 5'6""",62kg / 137lb,RW,20,Saudi Arabia,ROSHN Saudi League,Ettifaq FC
Abdulaziz Al Ouwiradi,55,57,51,51,58,36,56,GK,Left,"182cm / 6'0""",76kg / 168lb,,22,Saudi Arabia,ROSHN Saudi League,Al Riyadh
Abdulaziz Noor,64,77,56,61,60,30,56,RM,Left,"174cm / 5'9""",57kg / 126lb,"LM, RW",25,Sudan,ROSHN Saudi League,Al Wehda
Abdulbasit Hawsawi,56,56,55,53,58,30,53,GK,Right,"186cm / 6'1""",86kg / 190lb,,27,Saudi Arabia,ROSHN Saudi League,Damac FC
Abdulbasit Hindi,66,69,23,47,53,66,69,CB,Left,"181cm / 5'11""",71kg / 157lb,LB,27,Saudi Arabia,ROSHN Saudi League,Ettifaq FC
Abdulelah Al Amri,69,69,29,49,47,67,81,CB,Right,"184cm / 6'0""",75kg / 165lb,,27,Saudi Arabia,ROSHN Saudi League,Al Ittihad
Abdulelah Al Khaibari,62,73,42,56,55,58,55,LB,Left,"173cm / 5'8""",70kg / 154lb,,28,Saudi Arabia,ROSHN Saudi League,Al Riyadh
Abdulelah Al Malki,66,64,57,63,63,64,66,CDM,Right,"172cm / 5'8""",67kg / 148lb,CM,29,Saudi Arabia,ROSHN Saudi League,Ettifaq FC
Abdulelah Hawsawi,60,68,46,56,69,52,65,CM,Left,"182cm / 6'0""",77kg / 170lb,,23,Saudi Arabia,ROSHN Saudi League,Al Ittihad
Abdulfatah Adam,64,76,63,48,64,19,61,ST,Right,"180cm / 5'11""",68kg / 150lb,,29,Saudi Arabia,ROSHN Saudi League,Al Taawoun
Abdulhadi Al Harajin,59,70,53,55,61,25,44,LM,Right,"175cm / 5'9""",64kg / 141lb,"RM, CAM, LW",29,Saudi Arabia,ROSHN Saudi League,Al Fayha
Abdulkadir Parmak,67,74,65,67,68,66,66,CDM,Right,"176cm / 5'9""",70kg / 154lb,CM,29,Turkey,Trendyol Super Lig,Hatayspor
Abdulkarim Darisi,54,65,38,50,54,39,55,RM,Right,"184cm / 6'0""",74kg / 163lb,RW,21,Saudi Arabia,ROSHN Saudi League,Al Ahli
Abdulkerim Bardakci,79,61,45,71,69,79,86,CB,Left,"185cm / 6'1""",80kg / 176lb,LB,30,Turkey,Trendyol Super Lig,Galatasaray
Abdullah Abdo,51,52,51,48,51,41,52,GK,Right,"189cm / 6'2""",87kg / 192lb,,22,Saudi Arabia,ROSHN Saudi League,Al Ahli
Abdullah Al Ammar,67,76,51,64,69,59,68,LB,Left,"178cm / 5'10""",73kg / 161lb,,30,Saudi Arabia,ROSHN Saudi League,Al Ahli
Abdullah Al Fahad,62,73,46,51,55,61,71,CB,Right,"178cm / 5'10""",75kg / 165lb,,30,Saudi Arabia,ROSHN Saudi League,Al Khaleej
Abdullah Al Hafith,64,32,36,50,45,64,74,CB,Right,"187cm / 6'2""",80kg / 176lb,,31,Saudi Arabia,ROSHN Saudi League,Al Wehda
Abdullah Al Hamdan,61,71,59,58,60,34,65,ST,Right,"186cm / 6'1""",78kg / 172lb,,25,Saudi Arabia,ROSHN Saudi League,Al Hilal
Abdullah Al Joui,60,70,56,57,62,22,44,LM,Right,"173cm / 5'8""",67kg / 148lb,"RM, LW",29,Saudi Arabia,ROSHN Saudi League,Al Shabab
Abdullah Al Khaibari,71,67,43,64,67,68,72,CDM,Right,"175cm / 5'9""",75kg / 165lb,CM,28,Saudi Arabia,ROSHN Saudi League,Al Nassr
Abdullah Al Khatib,65,74,28,49,58,62,74,LB,Right,"186cm / 6'1""",72kg / 159lb,CB,29,Saudi Arabia,ROSHN Saudi League,Ettifaq FC
Abdullah Al Mayoof,65,57,70,74,61,27,70,GK,Right,"189cm / 6'2""",92kg / 203lb,,37,Saudi Arabia,ROSHN Saudi League,Al Shabab
Abdullah Al Meqran,59,68,56,57,64,34,60,ST,Right,"179cm / 5'10""",72kg / 159lb,"CAM, LM",27,Saudi Arabia,ROSHN Saudi League,Damac FC
Abdullah Al Owayshir,59,64,56,55,62,38,54,GK,Right,"184cm / 6'0""",69kg / 152lb,,33,Saudi Arabia,ROSHN Saudi League,Al Wehda
Abdullah Al Qahtani,52,72,32,43,51,44,52,RB,Right,"170cm / 5'7""",60kg / 132lb,,22,Saudi Arabia,ROSHN Saudi League,Al Raed
Abdullah Al Salem,61,58,61,58,59,52,70,ST,Right,"183cm / 6'0""",78kg / 172lb,CAM,31,Saudi Arabia,ROSHN Saudi League,Al Khaleej
Abdullah Al Shamekh,61,72,40,55,61,56,66,LB,Left,"179cm / 5'10""",77kg / 170lb,,31,Saudi Arabia,ROSHN Saudi League,Al Qadisiyah
Abdullah Al Yousif,58,68,39,51,52,55,67,LB,Left,"180cm / 5'11""",73kg / 161lb,,27,Saudi Arabia,ROSHN Saudi League,Al Raed
Abdullah Ateef,63,31,46,70,62,61,46,CDM,Right,"177cm / 5'10""",68kg / 150lb,,32,Saudi Arabia,ROSHN Saudi League,Al Ahli
Abdullah Hassoun,62,74,40,50,59,57,70,RB,Right,"177cm / 5'10""",68kg / 150lb,RM,27,Saudi Arabia,ROSHN Saudi League,Al Qadisiyah
Abdullah Hawsawi,59,67,34,46,52,55,67,RB,Right,"174cm / 5'9""",73kg / 161lb,,28,Saudi Arabia,ROSHN Saudi League,Al Kholood
Abdullah Madu,66,35,25,45,40,67,72,CB,Left,"186cm / 6'1""",86kg / 190lb,,31,Saudi Arabia,ROSHN Saudi League,Ettifaq FC
Abdullah Masoud,51,64,33,42,42,51,58,CB,Right,"175cm / 5'9""",66kg / 146lb,RB,22,Saudi Arabia,ROSHN Saudi League,Al Kholood
Abdullah Matuq,54,80,49,45,54,23,58,RW,Right,"175cm / 5'9""",70kg / 154lb,"ST, RM",21,Saudi Arabia,ROSHN Saudi League,Al Shabab
Abdullah Radif,61,82,56,38,53,22,66,ST,Right,"187cm / 6'2""",67kg / 148lb,,21,Saudi Arabia,ROSHN Saudi League,Ettifaq FC
Abdullah Yiğiter,65,66,64,61,67,20,63,GK,Right,"189cm / 6'2""",79kg / 174lb,,24,Turkey,Trendyol Super Lig,Antalyaspor
Abdulmajeed Al Sulayhim,66,65,60,66,73,57,60,CM,Right,"171cm / 5'7""",61kg / 134lb,CDM,30,Saudi Arabia,ROSHN Saudi League,Al Nassr
Abdulmalek Al Shammari,58,71,49,55,60,52,59,LB,Left,"177cm / 5'10""",63kg / 139lb,LM,29,Saudi Arabia,ROSHN Saudi League,Al Orobah
Abdulquddus Attiah,60,66,55,57,65,47,57,GK,Right,"186cm / 6'1""",75kg / 165lb,,27,Saudi Arabia,ROSHN Saudi League,Al Taawoun
Abdulrahman Al Dawsari,60,55,38,57,61,55,66,CM,Right,"177cm / 5'10""",75kg / 165lb,"CDM, LM",26,Saudi Arabia,ROSHN Saudi League,Al Qadisiyah
Abdulrahman Al Enazi,55,67,35,55,60,47,56,CM,Right,"172cm / 5'8""",69kg / 152lb,RM,26,Saudi Arabia,ROSHN Saudi League,Al Orobah
Abdulrahman Al Hajeri,54,64,39,48,52,51,56,LB,Left,"179cm / 5'10""",71kg / 157lb,CDM,28,Saudi Arabia,ROSHN Saudi League,Al Riyadh
Abdulrahman Al Hamyani,51,64,39,47,54,42,44,CAM,Left,"176cm / 5'9""",64kg / 141lb,CM,21,Saudi Arabia,ROSHN Saudi League,Al Ahli
Abdulrahman Al Obaid,60,68,57,62,62,54,58,LB,Left,"171cm / 5'7""",64kg / 141lb,,31,Saudi Arabia,ROSHN Saudi League,Damac FC
Abdulrahman Al Obud,65,88,57,55,67,45,57,RM,Right,"174cm / 5'9""",70kg / 154lb,"LM, RW",29,Saudi Arabia,ROSHN Saudi League,Al Ittihad
Abdulrahman Al Riou,55,67,28,46,52,53,62,LB,Left,"189cm / 6'2""",78kg / 172lb,CB,30,Saudi Arabia,ROSHN Saudi League,Al Okhdood
Abdulrahman Al Safri,61,55,36,57,58,56,67,CDM,Right,"174cm / 5'9""",74kg / 163lb,CM,31,Saudi Arabia,ROSHN Saudi League,Al Kholood
Abdulrahman Al Sanbi,55,56,54,52,57,43,56,GK,Right,"181cm / 5'11""",80kg / 176lb,,23,Saudi Arabia,ROSHN Saudi League,Al Ahli
Abdulrahman Al Shammari,56,57,56,54,56,41,53,GK,Right,"181cm / 5'11""",85kg / 187lb,,25,Saudi Arabia,ROSHN Saudi League,Al Riyadh
Abdulrahman Ghareeb,73,84,62,67,77,25,57,LM,Right,"164cm / 5'5""",68kg / 150lb,LW,27,Saudi Arabia,ROSHN Saudi League,Al Nassr
Abdulsamet Burak,60,58,35,49,53,60,65,CB,Left,"183cm / 6'0""",78kg / 172lb,"CDM, LB",28,Turkey,Trendyol Super Lig,Adana Demirspor
Abdussalam Magashy,64,79,60,59,66,60,78,CAM,Right,"171cm / 5'7""",74kg / 163lb,CM,26,Nigeria,Allsvenskan,Kalmar FF
Abdón Prats,73,68,75,61,73,29,67,ST,Left,"181cm / 5'11""",81kg / 179lb,,31,Spain,LA LIGA,RCD Mallorca
Abdülkadir Ömür,72,82,65,70,77,53,56,CAM,Left,"168cm / 5'6""",70kg / 154lb,"RM, CM",25,Turkey,EFL Championship,Hull City
Abel Bretones,70,75,64,66,66,64,78,LB,Left,"188cm / 6'2""",79kg / 174lb,,24,Spain,LA LIGA,CA Osasuna
Abel Luciatti,72,63,50,45,54,73,78,CB,Left,"178cm / 5'10""",67kg / 148lb,LB,31,Argentina,Sudamericana,Lanús
Abel Paredes,63,59,25,47,53,61,69,LB,Left,"178cm / 5'10""",80kg / 176lb,,27,Paraguay,Sudamericana,S. Ameliano
Abel Ruiz,76,77,76,70,76,39,71,ST,Right,"180cm / 5'11""",75kg / 165lb,LM,24,Spain,LA LIGA,Girona FC
Abhishek Halder,50,62,48,44,50,18,46,ST,Left,"177cm / 5'10""",63kg / 139lb,CAM,24,India,ISL,Mohammedan SC
Abhishek Singh,50,62,33,36,44,47,55,RB,Right,"168cm / 5'6""",65kg / 143lb,"LM, RM",19,India,ISL,Punjab FC
Abhishek Suryavanshi,49,54,44,50,53,36,42,CM,Right,"175cm / 5'9""",70kg / 154lb,CDM,23,India,ISL,Mohun Bagan SG
Abiel Osorio,69,79,66,53,64,36,80,ST,Right,"182cm / 6'0""",80kg / 176lb,,22,Argentina,Sudamericana,Defensa
Ablie Jallow,71,78,67,67,75,34,46,RM,Left,"166cm / 5'5""",62kg / 137lb,"CAM, RW",25,Gambia,Ligue 2 BKT,FC Metz
Abner Vinícius,73,82,52,72,73,66,63,LB,Left,"182cm / 6'0""",74kg / 163lb,,24,Brazil,Ligue 1 McDonald's,OL
Aboubacar Lô,60,56,33,34,38,62,60,CB,Right,"183cm / 6'0""",76kg / 168lb,RB,24,Senegal,Ligue 2 BKT,FC Metz
Aboubakary Koita,75,83,77,70,77,57,69,LM,Right,"175cm / 5'9""",69kg / 152lb,"CAM, LW",25,Mauritania,Hellas Liga,AEK Athens
Abraham Cabrera,62,53,30,46,56,63,64,CB,Left,"180cm / 5'11""",77kg / 170lb,LB,33,Bolivia,Sudamericana,Nacional Potosí
Abraham Odoh,64,88,58,56,67,47,72,LM,Right,"168cm / 5'6""",56kg / 123lb,"RM, LW",24,England,EFL League One,Peterborough
Abraham Romero,62,65,60,60,63,51,64,GK,Right,"189cm / 6'2""",84kg / 185lb,,26,United States,MLS,Columbus Crew
Abu Bekir Ömer El Zein,63,67,59,60,68,48,60,CM,Right,"180cm / 5'11""",78kg / 172lb,LM,21,Germany,Bundesliga 2,1. FC Magdeburg
Abu Francis,67,73,66,63,70,64,68,CM,Right,"184cm / 6'0""",72kg / 159lb,,23,Ghana,1A Pro League,Cercle Brugge
Abu Kamara,68,85,62,59,70,39,60,RM,Left,"185cm / 6'1""",81kg / 179lb,"LM, RW",21,England,EFL Championship,Hull City
Abubakr Barry,61,66,54,60,62,51,72,CM,Right,"190cm / 6'3""",74kg / 163lb,CDM,24,Gambia,Bundesliga,FK Austria Wien
Abudulam Abdurasul,54,73,40,49,57,38,53,RM,Right,"174cm / 5'9""",70kg / 154lb,"CDM, RW",23,China PR,CSL,Shandong Taishan
Abundance Salaou,58,63,27,51,55,54,59,CDM,Right,"183cm / 6'0""",77kg / 170lb,CM,20,Cote d'Ivoire,Allsvenskan,IFK Göteborg
Acerete,62,62,66,45,60,24,50,ST,Right,"175cm / 5'9""",65kg / 143lb,,22,Spain,LALIGA HYPERMOTION,R. Sporting
Aceves,69,70,68,69,72,24,69,GK,Right,"190cm / 6'3""",85kg / 187lb,,21,Spain,LA LIGA,R. Valladolid CF
Achille Anani,63,79,61,54,61,25,68,ST,Right,"188cm / 6'2""",89kg / 196lb,,29,Cote d'Ivoire,Ligue 2 BKT,Red Star FC
Achilleas Poungouras,69,63,41,47,49,69,73,CB,Right,"187cm / 6'2""",77kg / 170lb,,28,Greece,Trendyol Super Lig,Sivasspor
Achraf Hakimi,84,91,76,80,80,75,78,RB,Right,"181cm / 5'11""",73kg / 161lb,,25,Morocco,Ligue 1 McDonald's,Paris SG
Ada Hegerberg,89,74,89,77,86,39,79,ST,Right,"176cm / 5'9""",68kg / 150lb,,29,Norway,Arkema PL,OL
Adalberto Carrasquilla,71,73,63,66,78,60,69,CM,Right,"170cm / 5'7""",64kg / 141lb,RM,25,Panama,MLS,Houston Dynamo
Adalid Terrazas,67,60,64,65,65,60,70,CAM,Right,"177cm / 5'10""",70kg / 154lb,CM,24,Bolivia,Sudamericana,Always Ready
Adam Andersson,67,75,45,60,65,61,67,RB,Right,"176cm / 5'9""",68kg / 150lb,LB,27,Sweden,Eliteserien,Rosenborg BK
